crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2021-01-01T00:00:00.000,12:00,STATEN ISLAND,10306.0,40.557316,-74.11409,"(40.557316, -74.11409)",,,487       MILL ROAD                     ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4380863,Sedan,,,,
2021-01-01T00:00:00.000,12:30,STATEN ISLAND,10306.0,40.56717,-74.113075,"(40.56717, -74.113075)",,,2656      HYLAN BOULEVARD               ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4380864,Sedan,Sedan,,,
2021-01-01T00:00:00.000,18:55,,,,,,CLOVE ROAD                      ,RICHMOND ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4380869,Station Wagon/Sport Utility Vehicle,Sedan,,,
2021-01-01T00:00:00.000,15:10,,,40.689674,-73.96614,"(40.689674, -73.96614)",DE KALB AVENUE                  ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4380870,Sedan,,,,
2021-01-01T00:00:00.000,23:35,,,40.88756,-73.866394,"(40.88756, -73.866394)",BRONX RIVER PARKWAY             ,,,0,0,0,0,0,0,0,0,Following Too Closely,,,,,4380871,Sedan,,,,
2021-01-01T00:00:00.000,23:20,,,40.801125,-73.92988,"(40.801125, -73.92988)",FDR DRIVE                       ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4380872,Sedan,Station Wagon/Sport Utility Vehicle,,,
2021-01-01T00:00:00.000,21:10,,,40.813255,-73.93028,"(40.813255, -73.93028)",EAST 138 STREET                 ,GRAND CONCOURSE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4380874,Sedan,Station Wagon/Sport Utility Vehicle,,,
2021-01-02T00:00:00.000,0:41,,,40.72823,-73.83313,"(40.72823, -73.83313)",VAN WYCK EXPWY                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4380875,Taxi,,,,
2021-01-01T00:00:00.000,7:15,,,40.818047,-73.92246,"(40.818047, -73.92246)",MORRIS AVENUE                   ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4380877,Station Wagon/Sport Utility Vehicle,,,,
2021-01-01T00:00:00.000,7:50,,,40.811638,-73.9316,"(40.811638, -73.9316)",MAJOR DEEGAN EXPRESSWAY         ,,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,4380882,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2021-01-01T00:00:00.000,17:34,BRONX,10454.0,40.810818,-73.92684,"(40.810818, -73.92684)",,,271       EAST 138 STREET               ,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4380884,Bike,,,,
2021-01-01T00:00:00.000,2:50,BROOKLYN,11205.0,40.691753,-73.966576,"(40.691753, -73.966576)",WASHINGTON AVENUE               ,WILLOUGHBY AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Traffic Control Disregarded,,,,4380886,Station Wagon/Sport Utility Vehicle,,,,
2021-01-02T00:00:00.000,1:20,BROOKLYN,11214.0,40.599335,-73.99412,"(40.599335, -73.99412)",BENSON AVENUE                   ,BAY 32 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,4380887,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
2021-01-02T00:00:00.000,2:05,,,,,,BELT PARKWAY                    ,,,1,0,0,0,0,0,1,0,Unsafe Speed,,,,,4380888,Sedan,,,,
2021-01-01T00:00:00.000,0:45,BROOKLYN,11220.0,40.645245,-74.003006,"(40.645245, -74.003006)",7 AVENUE                        ,45 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4380889,Sedan,,,,
2021-01-01T00:00:00.000,16:45,BROOKLYN,11218.0,40.650173,-73.97383,"(40.650173, -73.97383)",OCEAN PARKWAY                   ,EAST 8 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4380892,Sedan,,,,
2021-01-02T00:00:00.000,4:30,,,,,,GOWANUS RAMP                    ,,,0,0,0,0,0,0,0,0,Pavement Slippery,,,,,4380893,Pick-up Truck,,,,
2021-01-01T00:00:00.000,6:08,,,40.686844,-73.90945,"(40.686844, -73.90945)",DECATUR STREET                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,4380894,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,
